Coffee,Coffee chain,Calories,Caffeine,Type,http://www.starbucks.com/menu/catalog/nutrition?drink=all#view_control=nutrition,http://www.wcrf-uk.org,http://caloriecount.about.com/,"sources: World Cancer Research Fund, Starbucks Beverage Nutrition Guide, Calorie Counter Database"
Venti Dark Berry Mocha Frappuccino Blended Coffee with Whipped Cream,Starbucks,561,130,Frappuccino,,,,
Tall Dark Berry Mocha Frappuccino Blended Coffee with Whipped ream,Starbucks,369,110,Frappuccino,,,,
Venti Dark Berry Mocha Frappuccino Blended Coffee Without Whipped Cream,Starbucks,457,130,Frappuccino,,,,
Tall Dark Berry Mocha Frappuccino Blended Coffee Without Whipped Cream,Starbucks,288,110,Frappuccino,,,,
Tall Iced Coffee,Starbucks,3,180,Coffee,,,,
Venti Iced Coffee,Starbucks,5,330,Coffee,,,,
Double Chocolate Frappe,Caffé Nero,483,200,Frappuccino,,,,
Mocha Frappe Latte with Semi Skimmed Milk,Caffé Nero,483,200,Frappuccino,,,,
Mocha Frappe Latte with Skimmed Milk,Caffé Nero,452,200,Frappuccino,,,,
Frappe Latte with Semi Skimmed Milk,Caffé Nero,307,200,Espresso with Milk,,,,
Frappe Latte with Skimmed Milk,Caffé Nero,277,200,Espresso with Milk,,,,
Iced Latte,Caffé Nero,117,200,Espresso with Milk,,,,
Massimo Coffee Frescato,Costa Coffee,322,240,Coffee,,,,
Primo Coffee Frescato,Costa Coffee,167,200,Coffee,,,,
Massimo Iced Mocha with Full Fat Milk,Costa Coffee,361,240,Espresso with Milk,,,,
Primo Iced Mocha with Full Fat Milk,Costa Coffee,152,200,Espresso with Milk,,,,
Large Coffee-House Coffee,,5,240,Coffee,,,,
large Coffee-House Coffee & Milk,,35,240,Coffee,,,,
Regular Coffee House Coffee,,4,200,Coffee,,,,
Brewed Black Coffee,,11,200,Coffee,,,,
Brewed Black Coffee with Sugar,,26,,Coffee,,,,
Large Cappuccino,,108,150,Espresso with Milk,,,,
Large Cappuccino with Semi Skimmed,,91,150,Espresso with Milk,,,,
Large Cappuccino with Soy,,72,150,Espresso with Milk,,,,
Large Cappuccino with Skimmed Milk,,64,150,Espresso with Milk,,,,
Large Cappuccino with Sugar,,123,150,Espresso with Milk,,,,
Pain Reliever,,0,130,Pain Reliever,,,,
Generic Energy Drink,,202,120,Energy Drink,,,,
Coffee Ice Cream,haagen daaz,220,90,Food,,,,
Instant Coffee,,30,85,Coffee,,,,
Instant Coffee with Milk,,97,85,Coffee,,,,
Instant Coffee with Milk and 2 Sugars,,137,85,Coffee,,,,
Dark Chocolate Bar,green & black,549,75,Food,,,,
Tea,,0,75,Tea,,,,
Tea 1 Sugar,,15,75,Tea,,,,
Tea 2 Sugars,,30,75,Tea,,,,
Tazo Chai Tea Latte Short,,129,50,Tea Latte,,,,
Tazo Chai Tea Latte Venti,,322,120,Tea Latte,,,,
Signature Hot Chocolate with Whipped Cream Short,Starbucks,293,10,Steamed Drink,,,,
Signature Hot Chocolate with Whipped Cream Venti,Starbucks,690,25,Steamed Drink,,,,
Green Tea,,2,60,Tea,,,,
Mountain Dew,,110,54,Soda,,,,
Diet Coke,,0,47,Soda,,,,
Coke,,97,38,Soda,,,,
Dr. Pepper,,100,41,Soda,,,,
Espresso,,6,40,Espresso ,,,,
Decaf Coffee,,2,8,Coffee,,,,
Decaf Coffee with Sugar,,17,8,Coffee,,,,
Tall Iced Coffee,,3,180,Coffee,,,,
Venti Iced Coffee,Starbucks,5,330,Coffee,,,,
Venti Hazelnut Mocha with Whipped Cream,Starbucks,599,150,Espresso with Milk,,,,
Caffe Latte Short Whole Milk,Starbucks,113,75,Espresso with Milk,,,,
Caffe Latte Venti Whole Milk,Starbucks,289,150,Espresso with Milk,,,,
Large Coke,McDonalds,310,144,Soda,,,,
Red Bull ,,110,80,Energy Drink,,,,
Monster Energy Drink,,101,86,Energy Drink,,,,
Rockstar Energy Drink,,280,160,Energy Drink,,,,
,,179.814814814815,,,,,,
